epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,695.631,1.5997,0.83706,1.00931,0.90658,0.97222,0.97484,0.48323,1.65976,0.81043,1.02375,0.0015842,0.0015842,0.0015842
44,711.219,1.59736,0.82843,1.00443,0.94267,0.97222,0.98141,0.5077,1.63558,0.87212,1.01712,0.0015743,0.0015743,0.0015743
45,726.611,1.64496,0.8435,1.01545,0.93879,0.97222,0.96644,0.47711,1.65768,0.7733,1.02241,0.0015644,0.0015644,0.0015644
46,742.069,1.59434,0.82562,1.02108,0.94642,0.98137,0.98191,0.47067,1.7401,0.78239,1.04024,0.0015545,0.0015545,0.0015545
47,757.602,1.57199,0.80984,0.99635,0.95208,0.97222,0.98605,0.47978,1.7124,0.88243,1.03563,0.0015446,0.0015446,0.0015446
48,773.234,1.62631,0.83689,1.0349,0.91854,0.97222,0.9849,0.50434,1.62949,0.82195,1.01261,0.0015347,0.0015347,0.0015347
49,788.85,1.5898,0.833,1.01046,0.93209,0.95323,0.98199,0.4485,1.76606,0.82778,1.04912,0.0015248,0.0015248,0.0015248
50,804.291,1.62318,0.83106,1.0117,0.92872,0.98611,0.97497,0.46929,1.67494,0.80626,1.01973,0.0015149,0.0015149,0.0015149
51,819.774,1.59719,0.83666,1.00755,0.87762,0.97222,0.94421,0.48433,1.60792,0.83123,1.00995,0.001505,0.001505,0.001505
52,837.224,1.59755,0.78032,1.03757,0.91338,0.98611,0.9746,0.4683,1.66425,0.83464,1.02367,0.0014951,0.0014951,0.0014951
53,852.746,1.50408,0.76129,1.01594,0.91945,1,0.98254,0.48298,1.65228,0.75417,1.01885,0.0014852,0.0014852,0.0014852
54,868.318,1.59861,0.80211,0.9953,0.92195,0.98435,0.9813,0.50576,1.62069,0.74362,1.01474,0.0014753,0.0014753,0.0014753
55,883.821,1.63209,0.79254,1.02881,0.89735,1,0.98015,0.49105,1.62973,0.73668,1.01223,0.0014654,0.0014654,0.0014654
56,899.345,1.59618,0.77949,1.00528,0.9208,0.96889,0.97394,0.49503,1.65696,0.74006,1.01773,0.0014555,0.0014555,0.0014555
57,914.927,1.5898,0.80502,1.01224,0.91087,0.99361,0.9776,0.49693,1.63526,0.74413,1.01547,0.0014456,0.0014456,0.0014456
58,930.426,1.59348,0.78689,1.00736,0.91118,1,0.98331,0.48786,1.6489,0.74528,1.01632,0.0014357,0.0014357,0.0014357
59,946.021,1.56498,0.79408,0.99817,0.91481,1,0.98485,0.48053,1.65598,0.72871,1.01956,0.0014258,0.0014258,0.0014258
60,961.596,1.59889,0.77216,1.02025,0.95764,0.9421,0.98431,0.4704,1.71213,0.72577,1.03288,0.0014159,0.0014159,0.0014159
61,977.046,1.57172,0.76222,1.00368,0.92307,0.97222,0.98014,0.46553,1.7456,0.72433,1.03632,0.001406,0.001406,0.001406
62,992.512,1.57735,0.79051,0.98533,0.93672,0.98611,0.98306,0.4636,1.76767,0.74574,1.03814,0.0013961,0.0013961,0.0013961
63,1008.08,1.62254,0.7596,1.00499,0.9526,0.98611,0.98719,0.49062,1.71005,0.73677,1.02434,0.0013862,0.0013862,0.0013862
64,1023.71,1.5358,0.74847,0.98347,0.97211,0.96818,0.98564,0.50975,1.62503,0.82384,1.00917,0.0013763,0.0013763,0.0013763
65,1039.25,1.57326,0.77488,1.00995,0.9608,0.95833,0.9832,0.49724,1.65988,0.80249,1.0217,0.0013664,0.0013664,0.0013664
66,1054.9,1.60543,0.77669,1.00104,0.94545,0.98611,0.9845,0.49167,1.63806,0.76845,1.0142,0.0013565,0.0013565,0.0013565
67,1070.4,1.59506,0.79469,1.02857,0.94614,0.98611,0.98178,0.49773,1.62663,0.74497,1.01303,0.0013466,0.0013466,0.0013466
68,1085.95,1.59118,0.75657,1.00593,0.92282,0.94444,0.96561,0.46744,1.71258,0.72005,1.04551,0.0013367,0.0013367,0.0013367
69,1101.5,1.55474,0.72169,1.00501,0.91948,0.9516,0.96554,0.46213,1.71598,0.71826,1.04746,0.0013268,0.0013268,0.0013268
70,1117.12,1.56748,0.73712,1.01558,0.89801,0.98611,0.97689,0.48255,1.66866,0.70774,1.0358,0.0013169,0.0013169,0.0013169
71,1132.65,1.57271,0.73696,1.02327,0.89844,0.98611,0.97556,0.48524,1.68484,0.72531,1.04027,0.001307,0.001307,0.001307
72,1148.21,1.59935,0.76046,1.01791,0.89645,0.96195,0.96497,0.4654,1.73995,0.74735,1.05242,0.0012971,0.0012971,0.0012971
73,1163.77,1.50032,0.74586,0.98866,0.89935,0.99282,0.98506,0.49272,1.64991,0.72604,1.02112,0.0012872,0.0012872,0.0012872
74,1179.32,1.49865,0.72229,0.97736,0.91186,1,0.98536,0.51505,1.5853,0.72288,1.0032,0.0012773,0.0012773,0.0012773
75,1194.94,1.46919,0.72392,0.98393,0.9422,1,0.98845,0.48074,1.63751,0.79433,1.01254,0.0012674,0.0012674,0.0012674
