epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,7409.8,1.20628,0.51752,1.04661,0.9762,0.9845,0.98964,0.61284,1.32289,0.5093,1.14012,0.0015941,0.0015941,0.0015941
43,7710.05,1.19821,0.51284,1.04123,0.96883,0.9845,0.97928,0.60142,1.34376,0.49338,1.18391,0.0015842,0.0015842,0.0015842
44,7913.79,1.20785,0.50703,1.05048,0.93002,0.96899,0.95884,0.58537,1.33674,0.56049,1.18195,0.0015743,0.0015743,0.0015743
45,8060.63,1.20683,0.53699,1.05395,0.95931,0.96899,0.96307,0.57996,1.3511,0.53278,1.17286,0.0015644,0.0015644,0.0015644
46,8218.72,1.19769,0.52246,1.06297,0.96144,0.97674,0.97015,0.59937,1.30159,0.51884,1.15278,0.0015545,0.0015545,0.0015545
47,8377.13,1.19671,0.51973,1.04577,0.96865,0.9845,0.98803,0.63557,1.24217,0.50289,1.11659,0.0015446,0.0015446,0.0015446
48,8533.97,1.18342,0.51691,1.0513,0.97447,0.99225,0.99141,0.63219,1.23764,0.48516,1.1086,0.0015347,0.0015347,0.0015347
49,8681.04,1.19187,0.51295,1.05923,0.96438,0.97674,0.97942,0.57055,1.39002,0.52676,1.18515,0.0015248,0.0015248,0.0015248
50,8808.3,1.19614,0.52268,1.03486,0.9846,0.99108,0.99406,0.62678,1.27633,0.53014,1.13354,0.0015149,0.0015149,0.0015149
51,8981.06,1.20918,0.53201,1.0457,0.97972,0.96124,0.96914,0.58876,1.36946,0.49996,1.18416,0.001505,0.001505,0.001505
52,9147.81,1.1363,0.49454,1.04416,0.96129,0.97674,0.96526,0.58948,1.34609,0.50113,1.17538,0.0014951,0.0014951,0.0014951
53,9396.96,1.1784,0.50658,1.04943,0.97651,0.96899,0.96466,0.62265,1.22647,0.49989,1.11616,0.0014852,0.0014852,0.0014852
54,9512.75,1.21506,0.51972,1.05823,0.9763,0.96124,0.97916,0.6049,1.29184,0.50579,1.15378,0.0014753,0.0014753,0.0014753
55,9672.27,1.18066,0.51886,1.04062,0.9769,0.98337,0.98844,0.60755,1.28997,0.49407,1.1405,0.0014654,0.0014654,0.0014654
56,9831.4,1.17679,0.49908,1.03064,0.97691,0.98372,0.9832,0.62574,1.29117,0.50013,1.14433,0.0014555,0.0014555,0.0014555
57,9990.23,1.17274,0.48802,1.03943,0.96452,0.97674,0.97096,0.60298,1.32278,0.4914,1.16832,0.0014456,0.0014456,0.0014456
58,10148.8,1.19404,0.50193,1.03504,0.98207,0.9845,0.97949,0.58527,1.37374,0.52499,1.19529,0.0014357,0.0014357,0.0014357
59,10306.3,1.15764,0.50072,1.04545,0.97684,0.9845,0.9829,0.61108,1.33054,0.50396,1.16618,0.0014258,0.0014258,0.0014258
60,10463.3,1.1392,0.48245,1.02572,0.97075,0.9845,0.98709,0.62007,1.28545,0.51822,1.14087,0.0014159,0.0014159,0.0014159
61,10620.4,1.17495,0.4962,1.04639,0.96837,0.97674,0.98463,0.62381,1.23349,0.5058,1.11266,0.001406,0.001406,0.001406
62,10789,1.18213,0.50068,1.02894,0.9692,0.97575,0.98671,0.60633,1.29237,0.51173,1.13938,0.0013961,0.0013961,0.0013961
63,10945.2,1.1641,0.48254,1.05311,0.96867,0.96899,0.96737,0.59874,1.31674,0.48467,1.15846,0.0013862,0.0013862,0.0013862
64,11101.7,1.16467,0.48414,1.03673,0.96943,0.98334,0.98691,0.63522,1.23617,0.46295,1.1206,0.0013763,0.0013763,0.0013763
65,11257,1.17434,0.49262,1.03771,0.9685,0.97674,0.99015,0.60365,1.31391,0.50014,1.15325,0.0013664,0.0013664,0.0013664
66,11414.8,1.13003,0.48004,1.02443,0.97598,0.99225,0.99286,0.62373,1.28376,0.49112,1.13196,0.0013565,0.0013565,0.0013565
67,11570.5,1.17935,0.48292,1.04992,0.97633,0.99225,0.9932,0.60942,1.31938,0.48739,1.13778,0.0013466,0.0013466,0.0013466
68,11725.8,1.17454,0.49373,1.0404,0.97581,0.9845,0.991,0.62215,1.2617,0.49969,1.1181,0.0013367,0.0013367,0.0013367
69,11880.3,1.18239,0.47472,1.04735,0.97382,0.99225,0.99302,0.63485,1.2336,0.4836,1.10879,0.0013268,0.0013268,0.0013268
70,11981.8,1.20603,0.49586,1.05647,0.96396,0.9845,0.99336,0.63949,1.23275,0.51684,1.1156,0.0013169,0.0013169,0.0013169
71,12044.4,1.15449,0.48046,1.02934,0.98458,0.99018,0.99158,0.63901,1.20311,0.47825,1.08888,0.001307,0.001307,0.001307
72,12104,1.15441,0.47605,1.03606,0.97202,0.9845,0.99204,0.61687,1.26744,0.50137,1.1244,0.0012971,0.0012971,0.0012971
73,12162.3,1.15076,0.4798,1.02668,0.9759,0.99225,0.99293,0.61574,1.28801,0.48749,1.13325,0.0012872,0.0012872,0.0012872
74,12220.5,1.16014,0.4831,1.03785,0.97694,0.99225,0.99328,0.6236,1.26589,0.47849,1.11415,0.0012773,0.0012773,0.0012773
75,12278.5,1.16351,0.47595,1.03841,0.97709,0.99164,0.99337,0.61552,1.29047,0.48121,1.13458,0.0012674,0.0012674,0.0012674
76,12389.7,1.14644,0.48266,1.01789,0.97574,0.97674,0.99183,0.61784,1.28363,0.48779,1.12177,0.0012575,0.0012575,0.0012575
77,12547.5,1.20042,0.49439,1.04939,0.96965,0.99065,0.99237,0.58448,1.34329,0.48749,1.14157,0.0012476,0.0012476,0.0012476
78,12705.1,1.12173,0.46768,1.02163,0.96233,0.99225,0.99306,0.61255,1.26057,0.48492,1.11326,0.0012377,0.0012377,0.0012377
79,12863.7,1.14347,0.48422,1.02447,0.96929,0.99225,0.99344,0.63223,1.23653,0.47277,1.10089,0.0012278,0.0012278,0.0012278
80,13023.7,1.12699,0.48736,1.01951,0.9742,0.9845,0.99385,0.6262,1.26181,0.47174,1.11277,0.0012179,0.0012179,0.0012179
81,13184.4,1.14488,0.46913,1.0256,0.99218,0.98315,0.9943,0.62808,1.24603,0.45338,1.10984,0.001208,0.001208,0.001208
82,13349.2,1.16167,0.4743,1.04609,0.97708,0.99136,0.99328,0.62948,1.24693,0.47872,1.1103,0.0011981,0.0011981,0.0011981
